2022-03-29 17:29:45 install gpg-wks-client:amd64 <none> 2.2.27-2+deb11u1
2022-03-29 17:29:45 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 install gpg-wks-server:amd64 <none> 2.2.27-2+deb11u1
2022-03-29 17:29:45 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 install gpgsm:amd64 <none> 2.2.27-2+deb11u1
2022-03-29 17:29:45 status half-installed gpgsm:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status unpacked gpgsm:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 install gnupg:all <none> 2.2.27-2+deb11u1
2022-03-29 17:29:46 status half-installed gnupg:all 2.2.27-2+deb11u1
2022-03-29 17:29:46 status unpacked gnupg:all 2.2.27-2+deb11u1
2022-03-29 17:29:46 startup packages configure
2022-03-29 17:29:46 configure libksba8:amd64 1.5.0-3 <none>
2022-03-29 17:29:46 status unpacked libksba8:amd64 1.5.0-3
2022-03-29 17:29:46 status half-configured libksba8:amd64 1.5.0-3
2022-03-29 17:29:46 status installed libksba8:amd64 1.5.0-3
2022-03-29 17:29:46 configure libsqlite3-0:amd64 3.34.1-3 <none>
2022-03-29 17:29:46 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-03-29 17:29:46 status half-configured libsqlite3-0:amd64 3.34.1-3
2022-03-29 17:29:46 status installed libsqlite3-0:amd64 3.34.1-3
2022-03-29 17:29:46 configure libnpth0:amd64 1.6-3 <none>
2022-03-29 17:29:46 status unpacked libnpth0:amd64 1.6-3
2022-03-29 17:29:46 status half-configured libnpth0:amd64 1.6-3
2022-03-29 17:29:46 status installed libnpth0:amd64 1.6-3
2022-03-29 17:29:46 configure libassuan0:amd64 2.5.3-7.1 <none>
2022-03-29 17:29:46 status unpacked libassuan0:amd64 2.5.3-7.1
2022-03-29 17:29:46 status half-configured libassuan0:amd64 2.5.3-7.1
2022-03-29 17:29:46 status installed libassuan0:amd64 2.5.3-7.1
2022-03-29 17:29:46 configure gnupg-l10n:all 2.2.27-2+deb11u1 <none>
2022-03-29 17:29:46 status unpacked gnupg-l10n:all 2.2.27-2+deb11u1
2022-03-29 17:29:46 status half-configured gnupg-l10n:all 2.2.27-2+deb11u1
2022-03-29 17:29:46 status installed gnupg-l10n:all 2.2.27-2+deb11u1
2022-03-29 17:29:46 configure libncursesw6:amd64 6.2+20201114-2 <none>
2022-03-29 17:29:46 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-03-29 17:29:46 status half-configured libncursesw6:amd64 6.2+20201114-2
2022-03-29 17:29:46 status installed libncursesw6:amd64 6.2+20201114-2
2022-03-29 17:29:46 configure readline-common:all 8.1-1 <none>
2022-03-29 17:29:46 status unpacked readline-common:all 8.1-1
2022-03-29 17:29:46 status half-configured readline-common:all 8.1-1
2022-03-29 17:29:46 status installed readline-common:all 8.1-1
2022-03-29 17:29:46 configure pinentry-curses:amd64 1.1.0-4 <none>
2022-03-29 17:29:46 status unpacked pinentry-curses:amd64 1.1.0-4
2022-03-29 17:29:46 status half-configured pinentry-curses:amd64 1.1.0-4
2022-03-29 17:29:46 status installed pinentry-curses:amd64 1.1.0-4
2022-03-29 17:29:46 configure libreadline8:amd64 8.1-1 <none>
2022-03-29 17:29:46 status unpacked libreadline8:amd64 8.1-1
2022-03-29 17:29:46 status half-configured libreadline8:amd64 8.1-1
2022-03-29 17:29:46 status installed libreadline8:amd64 8.1-1
2022-03-29 17:29:46 configure gpgconf:amd64 2.2.27-2+deb11u1 <none>
2022-03-29 17:29:46 status unpacked gpgconf:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status half-configured gpgconf:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status installed gpgconf:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 configure gpg:amd64 2.2.27-2+deb11u1 <none>
2022-03-29 17:29:46 status unpacked gpg:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status half-configured gpg:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status installed gpg:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 configure gnupg-utils:amd64 2.2.27-2+deb11u1 <none>
2022-03-29 17:29:46 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status half-configured gnupg-utils:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status installed gnupg-utils:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 configure gpg-agent:amd64 2.2.27-2+deb11u1 <none>
2022-03-29 17:29:46 status unpacked gpg-agent:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status half-configured gpg-agent:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status installed gpg-agent:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 configure gpgsm:amd64 2.2.27-2+deb11u1 <none>
2022-03-29 17:29:46 status unpacked gpgsm:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status half-configured gpgsm:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status installed gpgsm:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 configure dirmngr:amd64 2.2.27-2+deb11u1 <none>
2022-03-29 17:29:46 status unpacked dirmngr:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status half-configured dirmngr:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status installed dirmngr:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 configure gpg-wks-server:amd64 2.2.27-2+deb11u1 <none>
2022-03-29 17:29:46 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status half-configured gpg-wks-server:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status installed gpg-wks-server:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 configure gpg-wks-client:amd64 2.2.27-2+deb11u1 <none>
2022-03-29 17:29:46 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status half-configured gpg-wks-client:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 status installed gpg-wks-client:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:46 configure gnupg:all 2.2.27-2+deb11u1 <none>
2022-03-29 17:29:46 status unpacked gnupg:all 2.2.27-2+deb11u1
2022-03-29 17:29:46 status half-configured gnupg:all 2.2.27-2+deb11u1
2022-03-29 17:29:46 status installed gnupg:all 2.2.27-2+deb11u1
2022-03-29 17:29:46 trigproc libc-bin:amd64 2.31-13+deb11u3 <none>
2022-03-29 17:29:46 status half-configured libc-bin:amd64 2.31-13+deb11u3
2022-03-29 17:29:46 status installed libc-bin:amd64 2.31-13+deb11u3
2022-03-29 17:29:53 startup archives unpack
2022-03-29 17:29:53 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2022-03-29 17:29:53 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-03-29 17:29:54 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-03-29 17:29:54 install libgdbm6:amd64 <none> 1.19-2
2022-03-29 17:29:54 status triggers-pending libc-bin:amd64 2.31-13+deb11u3
2022-03-29 17:29:54 status half-installed libgdbm6:amd64 1.19-2
2022-03-29 17:29:54 status unpacked libgdbm6:amd64 1.19-2
2022-03-29 17:29:54 install libgdbm-compat4:amd64 <none> 1.19-2
2022-03-29 17:29:54 status half-installed libgdbm-compat4:amd64 1.19-2
2022-03-29 17:29:54 status unpacked libgdbm-compat4:amd64 1.19-2
2022-03-29 17:29:54 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2022-03-29 17:29:54 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2022-03-29 17:29:54 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2022-03-29 17:29:54 install perl:amd64 <none> 5.32.1-4+deb11u2
2022-03-29 17:29:54 status half-installed perl:amd64 5.32.1-4+deb11u2
